y_type,model_structure,time_and_region,estimator_column_name,term,coeff
time_since_infection,slope,1m_v3,PFitter.time.est,est,0.08
time_since_infection,slope,1m_v3,Synonymous.PFitter.time.est,est,0.48
time_since_infection,slope,1m_v3,multifounder.PFitter.time.est,est,0.45
time_since_infection,slope,1m_v3,multifounder.Synonymous.PFitter.time.est,est,0.94
time_since_infection,slope,1m_nflg,PFitter.time.est,est,0.23
time_since_infection,slope,1m_nflg,Synonymous.PFitter.time.est,est,1.04
time_since_infection,slope,1m_nflg,multifounder.PFitter.time.est,est,0.4
time_since_infection,slope,1m_nflg,multifounder.Synonymous.PFitter.time.est,est,1.7
time_since_infection,slope,6m_pooled,PFitter.time.est,est,0.54
time_since_infection,slope,6m_pooled,Synonymous.PFitter.time.est,est,2.03
time_since_infection,slope,6m_pooled,multifounder.PFitter.time.est,est,0.82
time_since_infection,slope,6m_pooled,multifounder.Synonymous.PFitter.time.est,est,2.65
